,Date,Species,Block,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CodeSum_BR,CodeSum_DZ,CodeSum_DZ BR,CodeSum_RA,CodeSum_RA BR,CodeSum_RA DZ,CodeSum_RA DZ BR,CodeSum_TS,CodeSum_TS BR,CodeSum_TS RA,CodeSum_TS RA BR,Daylight
0,2007-05-29,CULEX PIPIENS/RESTUANS,41,T002,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
1,2007-05-29,CULEX RESTUANS,41,T002,41.95469,-87.800991,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
2,2007-05-29,CULEX RESTUANS,62,T007,41.994991,-87.769279,9,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
3,2007-05-29,CULEX PIPIENS/RESTUANS,79,T015,41.974089,-87.824812,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
4,2007-05-29,CULEX RESTUANS,79,T015,41.974089,-87.824812,8,4,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
5,2007-05-29,CULEX RESTUANS,15,T045,41.9216,-87.666455,8,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
6,2007-05-29,CULEX RESTUANS,25,T046,41.891118,-87.65449100000001,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
7,2007-05-29,CULEX PIPIENS/RESTUANS,11,T048,41.867108,-87.654224,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
8,2007-05-29,CULEX RESTUANS,11,T048,41.867108,-87.654224,8,2,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
9,2007-05-29,CULEX RESTUANS,11,T049,41.896282,-87.655232,8,1,0,88,60,74,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,1,0,0,0,0,0,0,0,0,0,0,896
